hierarquia,topico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,porcentagem_encontrada_num,porcentagem_caderno_num,nivel_hierarquia
08.10,Tópicos Mesclados de Controle da Administração,51,0.04%,51,0.04%,0.04,0.04,2
09,Domínio Público,304,0.26%,304,0.26%,0.26,0.26,1
09,Extensão de Arquivos,38,0.03%,38,0.03%,0.03,0.03,1
09,Processo de Planejamento,1873,1.61%,1873,1.61%,1.61,1.61,1
09,Ordem Social (arts. 193 a 232 da CF/1988),795,0.68%,795,0.68%,0.68,0.68,1
09,Concordância (Verbal e Nominal),770,0.66%,770,0.66%,0.66,0.66,1
09.01,"Introdução ao Processo de Planejamento (Diretrizes, Princípios, Características, Etapas, Níveis)",217,0.19%,217,0.19%,0.19,0.19,2
09.01,Noções Gerais (Ordem Social),6,0.01%,6,0.01%,0.01,0.01,2
09.01,Domínio Público e Bens Públicos: Conceito,12,0.01%,12,0.01%,0.01,0.01,2
09.02,Bens Públicos (Direito Administrativo),291,0.25%,291,0.25%,0.25,0.25,2
09.02,Planejamento Estratégico,363,0.31%,363,0.31%,0.31,0.31,2
09.02,Seguridade Social (arts. 194 a 204 da CF/1988),277,0.24%,277,0.24%,0.24,0.24,2
09.02.01,"Disposições Gerais (Seguridade Social, arts. 194 e 195 da CF/1988)",74,0.06%,74,0.06%,0.06,0.06,3
09.02.01,Classificação dos Bens Públicos,89,0.08%,89,0.08%,0.08,0.08,3
09.02.02,Características dos Bens Públicos,69,0.06%,69,0.06%,0.06,0.06,3
09.02.02,Da Saúde (arts. 196 a 200 da CF/1988),137,0.12%,137,0.12%,0.12,0.12,3
09.02.03,Afetação e Desafetação (Bens Públicos),27,0.02%,27,0.02%,0.02,0.02,3
09.02.03,Da Previdência Social (arts. 201 e 202 da CF/1988),37,0.03%,37,0.03%,0.03,0.03,3
09.02.04,Da Assistência Social (arts. 203 e 204 da CF/1988),29,0.02%,29,0.02%,0.02,0.02,3
09.02.04,"Bens Públicos em Espécie (Domínio Terrestre, Hídrico e Aéreo)",23,0.02%,23,0.02%,0.02,0.02,3
09.02.05,Formas de Utilização de Bens Públicos,38,0.03%,38,0.03%,0.03,0.03,3
09.02.06,Aquisição de Bens pelo Estado,7,0.01%,7,0.01%,0.01,0.01,3
09.02.07,Tópicos Mesclados de Bens Públicos (Direito Administrativo),38,0.03%,38,0.03%,0.03,0.03,3
09.03,"Da Educação, da Cultura e do Desporto (arts. 205 a 217 da CF/1988)",220,0.19%,220,0.19%,0.19,0.19,2
09.03,"Lei nº 9.636/1998 - Regularização, Administração, Aforamento e Alienação de Bens Imóveis da União",1,0.00%,1,0.00%,0.0,0.0,2
09.03,Intenção Estratégica ou Desenvolvimento Institucional,113,0.10%,113,0.10%,0.1,0.1,2
09.04,Da Ciência e Tecnologia (arts. 218 e 219 da CF/1988),28,0.02%,28,0.02%,0.02,0.02,2
09.04,Diagnóstico de Ambiente Organizacional - Matriz SWOT,247,0.21%,247,0.21%,0.21,0.21,2
09.05,Matriz GUT,28,0.02%,28,0.02%,0.02,0.02,2
09.05,Da Comunicação Social (arts. 220 a 224 da CF/1988),76,0.07%,76,0.07%,0.07,0.07,2
09.06,Do Meio Ambiente (art. 225 da CF/1988),88,0.08%,88,0.08%,0.08,0.08,2
09.06,Estratégia e Vantagem Competitiva,276,0.24%,276,0.24%,0.24,0.24,2
09.07,Planejamento baseado em Cenários,23,0.02%,23,0.02%,0.02,0.02,2
09.07,"Da Família, da Criança, do Adolescente e do Idoso (arts. 226 a 230 da CF/1988)",41,0.04%,41,0.04%,0.04,0.04,2
09.08,Indicadores de Desempenho,178,0.15%,178,0.15%,0.15,0.15,2
09.08,Dos Índios (arts. 231 e 232 da CF/1988),59,0.05%,59,0.05%,0.05,0.05,2
09.09,Balanced Scorecard (BSC),266,0.23%,266,0.23%,0.23,0.23,2
09.10,Redes e Alianças,23,0.02%,23,0.02%,0.02,0.02,2
09.11,Planejamento Tático,42,0.04%,42,0.04%,0.04,0.04,2
09.12,Planejamento Operacional,39,0.03%,39,0.03%,0.03,0.03,2
09.13,Planejamento e Estratégia no Setor Público,45,0.04%,45,0.04%,0.04,0.04,2
09.14,Objetivos-Chaves para Resultados (OKR),13,0.01%,13,0.01%,0.01,0.01,2
10,Das Disposições Constitucionais Gerais (arts. 233 a 250 da CF/1988),14,0.01%,14,0.01%,0.01,0.01,1
10,Agentes Públicos,3559,3.06%,3559,3.06%,3.06,3.06,1
10,Microsoft Teams,11,0.01%,11,0.01%,0.01,0.01,1
10,Processo de Organização,892,0.77%,892,0.77%,0.77,0.77,1
10,Vozes (Voz Passiva e Voz Ativa),111,0.10%,111,0.10%,0.1,0.1,1
10.01,"Desenho Organizacional (Conceitos, Tipos, Centralização e Descentralização)",499,0.43%,499,0.43%,0.43,0.43,2
10.01,Conceito para Agentes Públicos,30,0.03%,30,0.03%,0.03,0.03,2
10.02,Departamentalização (Conceitos e Tipos),255,0.22%,255,0.22%,0.22,0.22,2
10.02,Classificação dos Agentes Públicos,118,0.10%,118,0.10%,0.1,0.1,2
10.03,"Organização, Sistemas e Métodos (OSM)",138,0.12%,138,0.12%,0.12,0.12,2
10.03,"Funções, Cargos e Empregos Públicos",139,0.12%,139,0.12%,0.12,0.12,2
10.03.01,Noções Introdutórias (OSM),17,0.01%,17,0.01%,0.01,0.01,3
10.03.02,Representações Gráficas (OSM),54,0.05%,54,0.05%,0.05,0.05,3
10.03.03,Arranjo Físico ou Layout (OSM),21,0.02%,21,0.02%,0.02,0.02,3
10.03.04,Técnicas de Levantamento de Dados e Informações (OSM),18,0.02%,18,0.02%,0.02,0.02,3
10.03.05,Formulários e Manuais Administrativos,28,0.02%,28,0.02%,0.02,0.02,3
10.04,"Criação, Transformação e Extinção de Cargos Públicos",21,0.02%,21,0.02%,0.02,0.02,2
10.05,Aspectos Constitucionais pertinentes aos Servidores Públicos,630,0.54%,630,0.54%,0.54,0.54,2
10.05.01,Concurso Público,128,0.11%,128,0.11%,0.11,0.11,3
10.05.02,Acessibilidade aos Cargos e Empregos Públicos,61,0.05%,61,0.05%,0.05,0.05,3
10.05.03,Acumulação de Cargos e Empregos Públicos e Funções,104,0.09%,104,0.09%,0.09,0.09,3
10.05.04,Estabilidade e Estágio Probatório,116,0.10%,116,0.10%,0.1,0.1,3
10.05.05,Associação Sindical e Direito de Greve,23,0.02%,23,0.02%,0.02,0.02,3
10.05.06,Direitos Sociais dos Servidores Públicos (art. 7º da CF),17,0.01%,17,0.01%,0.01,0.01,3
10.05.07,"Remuneração (Componentes, Subsídio, Teto, Equiparação, Vinculação, Irredutibilidade, etc)",81,0.07%,81,0.07%,0.07,0.07,3
10.05.08,Mandato Eletivo (art. 38 da CF),29,0.02%,29,0.02%,0.02,0.02,3
10.05.09,"Regime Previdenciário (Aposentadoria, Pensão, RPPS)",71,0.06%,71,0.06%,0.06,0.06,3
10.06,Lei nº 8.112/1990 - Estatuto dos Servidores Federais,1658,1.43%,1658,1.43%,1.43,1.43,2
10.06.01,Disposições Preliminares e Abrangência (arts. 1º a 4º da Lei nº 8.112/1990),38,0.03%,38,0.03%,0.03,0.03,3
10.06.02,Formas de Provimento (arts. 5º a 32 da Lei nº 8.112/1990),383,0.33%,383,0.33%,0.33,0.33,3
10.06.03,Vacância (arts. 33 a 35 da Lei nº 8.112/1990),31,0.03%,31,0.03%,0.03,0.03,3
10.06.04,"Remoção, Redistribuição e Substituição (arts. 36 a 39 da Lei nº 8.112/1990)",70,0.06%,70,0.06%,0.06,0.06,3
10.06.05,Vencimento e Remuneração (arts. 40 a 48 da Lei nº 8.112/1990),55,0.05%,55,0.05%,0.05,0.05,3
10.06.06,Das Vantagens: Indenizações (arts. 49 a 60-E da Lei nº 8.112/1990),64,0.06%,64,0.06%,0.06,0.06,3
10.06.07,Das Gratificações e Adicionais (arts. 61 a 76 da Lei nº 8.112/1990),39,0.03%,39,0.03%,0.03,0.03,3
10.06.08,Das Férias (arts. 77 a 80 da Lei nº 8.112/1990),21,0.02%,21,0.02%,0.02,0.02,3
10.06.09,"Das Licenças, Afastamentos e Concessões (arts. 81 a 99 da Lei nº 8.112/1990)",175,0.15%,175,0.15%,0.15,0.15,3
10.06.10,Do Tempo de Serviço (arts. 100 a 103 da Lei nº 8.112/1990),13,0.01%,13,0.01%,0.01,0.01,3
10.06.11,Do Direito de Petição (arts. 104 a 115 da Lei nº 8.112/1990),15,0.01%,15,0.01%,0.01,0.01,3
10.06.12,Do Regime Disciplinar (arts. 116 a 142 da Lei nº 8.112/1990),479,0.41%,479,0.41%,0.41,0.41,3
10.06.13,Do Processo Administrativo Disciplinar (arts. 143 a 182 da Lei nº 8.112/1990),198,0.17%,198,0.17%,0.17,0.17,3
10.06.14,Da Seguridade Social do Servidor (arts. 183 a 230 da Lei nº 8.112/1990),61,0.05%,61,0.05%,0.05,0.05,3
10.06.15,Tópicos Mesclados de Estatuto de Servidores Federais (Lei nº 8.112/1990),16,0.01%,16,0.01%,0.01,0.01,3
10.07,"Decreto nº 7.003/2009 - Regulamenta a Licença para Tratamento de Saúde, de que Tratam os arts. 202 a 205 da Lei nº 8.112/1990",9,0.01%,9,0.01%,0.01,0.01,2
10.08,Estatutos dos Servidores Públicos Estaduais,731,0.63%,731,0.63%,0.63,0.63,2
10.08.01,Lei Complementar nº 04/1990 - Estatuto dos Servidores do MT,2,0.00%,2,0.00%,0.0,0.0,3
10.08.01.01,"Do Provimento, da Vacância e Outros (arts. 8º a 55 da LC nº 04/1990)",1,0.00%,1,0.00%,0.0,0.0,4
10.08.01.02,Do Regime Disciplinar (arts. 143 a 169 da LC nº 04/1990),1,0.00%,1,0.00%,0.0,0.0,4
10.08.02,Lei Complementar nº 13/1994 - Estatuto dos Servidores do PI,13,0.01%,13,0.01%,0.01,0.01,3
10.08.02.01,"Do Provimento, Vacância, Remoção, Redistribuição e Substituição (arts. 6º a 39-A da LC nº 13/1994)",3,0.00%,3,0.00%,0.0,0.0,4
10.08.02.02,Dos Direitos e Vantagens (arts. 40 a 136 da LC nº 13/1994),3,0.00%,3,0.00%,0.0,0.0,4
10.08.02.03,Do Regime Disciplinar (arts. 137 a 163 da LC nº 13/1994),4,0.00%,4,0.00%,0.0,0.0,4
10.08.02.04,Do Processo Administrativo Disciplinar (arts. 164 a 200 da LC nº 13/1994),3,0.00%,3,0.00%,0.0,0.0,4
10.08.03,Lei Complementar nº 39/1993 - Estatuto dos Servidores do AC,19,0.02%,19,0.02%,0.02,0.02,3
10.08.03.01,Do Provimento e da Vacância (arts. 5º a 41 da LC nº 39/1993),8,0.01%,8,0.01%,0.01,0.01,4
10.08.03.02,Dos Direitos e Vantagens (arts. 45 a 165 da LC nº 39/1993),4,0.00%,4,0.00%,0.0,0.0,4
10.08.03.03,Do Regime Disciplinar (arts. 166 a 193 da LC nº 39/1993),5,0.00%,5,0.00%,0.0,0.0,4
10.08.03.04,Do Processo Administrativo Disciplinar (arts. 194 a 235 da LC nº 39/1993),2,0.00%,2,0.00%,0.0,0.0,4
10.08.04,Lei Complementar nº 46/1994 - Estatuto dos Servidores do ES,85,0.07%,85,0.07%,0.07,0.07,3
10.08.04.01,Das Disposições Preliminares (arts. 1º a 3º da LC nº 46/1994),2,0.00%,2,0.00%,0.0,0.0,4
10.08.04.02,Do Provimento e da Movimentação de Pessoal (arts. 4º a 59 da LC nº 46/1994),36,0.03%,36,0.03%,0.03,0.03,4
10.08.04.03,Da Vacância (arts. 60 a 65 da LC nº 46/1994),2,0.00%,2,0.00%,0.0,0.0,4
10.08.04.04,Dos Direitos e Vantagens (arts. 66 a 164 da LC nº 46/1994),15,0.01%,15,0.01%,0.01,0.01,4
10.08.04.05,Da Seguridade Social (arts. 189 a 219 da LC nº 46/1994),1,0.00%,1,0.00%,0.0,0.0,4
10.08.04.06,Do Regime Disciplinar (arts. 220 a 246 da LC nº 46/1994),21,0.02%,21,0.02%,0.02,0.02,4
10.08.04.07,Do Processo Administrativo-Disciplinar (arts. 247 a 286 da LC nº 46/1994),7,0.01%,7,0.01%,0.01,0.01,4
10.08.04.08,Das Contratações Temporárias de Excepcional Interesse Público (arts. 287 a 292 da LC nº 46/1994),1,0.00%,1,0.00%,0.0,0.0,4
10.08.05,Lei Complementar nº 53/2001 - Estatuto dos Servidores de RR,39,0.03%,39,0.03%,0.03,0.03,3
10.08.05.01,Disposições Preliminares (arts. 1º a 4º da LC nº 53/2001),1,0.00%,1,0.00%,0.0,0.0,4
10.08.05.02,"Do Provimento, Vacância, Remoção e Substituição (arts. 5º a 36 da LC nº 53/2001)",11,0.01%,11,0.01%,0.01,0.01,4
10.08.05.03,Dos Direitos e Vantagens (arts. 37 a 108 da LC nº 53/2001),14,0.01%,14,0.01%,0.01,0.01,4
10.08.05.04,Do Regime Disciplinar (arts. 109 a 136 da LC nº 53/2001),9,0.01%,9,0.01%,0.01,0.01,4
10.08.05.05,Do Processo Administrativo Disciplinar (arts. 137 a 176 da LC nº 53/2001),3,0.00%,3,0.00%,0.0,0.0,4
10.08.05.06,Dos Benefícios Sociais (arts. 177 a 191 da LC nº 53/2001),1,0.00%,1,0.00%,0.0,0.0,4
10.08.06,Lei Complementar nº 58/2003 - Estatuto dos Servidores da PB,15,0.01%,15,0.01%,0.01,0.01,3
10.08.06.01,"Do Provimento, Vacância, Remoção, Redistribuição e Substituição (arts. 5º a 37 da LC nº 58/2003)",8,0.01%,8,0.01%,0.01,0.01,4
10.08.06.02,Dos Direitos e Vantagens (arts. 38 a 105 da LC nº 58/2003),3,0.00%,3,0.00%,0.0,0.0,4
10.08.06.03,Do Regime Disciplinar (arts. 106 a 130 da LC nº 58/2003),2,0.00%,2,0.00%,0.0,0.0,4
10.08.06.04,Do Processo Administrativo Disciplinar (arts. 131 a 170 da LC nº 58/2003),2,0.00%,2,0.00%,0.0,0.0,4
10.08.07,Lei nº 66/1993 - Estatuto dos Servidores do AP,7,0.01%,7,0.01%,0.01,0.01,3
10.08.07.01,"Provimento, Concurso Público, Posse, Movimentanção e Vacância (arts. 4º a 48 da Lei nº 66/1993)",2,0.00%,2,0.00%,0.0,0.0,4
10.08.07.02,Dos Direitos e Vantagens (arts. 49 a 132 da Lei nº 66/1993),2,0.00%,2,0.00%,0.0,0.0,4
10.08.07.03,Do Regime Disciplinar (arts. 133 a 158 da Lei nº 66/1993),3,0.00%,3,0.00%,0.0,0.0,4
10.08.08,Lei Complementar nº 68/1992 - Estatuto dos Servidores de RO,18,0.02%,18,0.02%,0.02,0.02,3
10.08.08.01,"Do Provimento, da Vacância, da Movimentação e da Substituição (arts. 8º a 63 da LC nº 68/1992)",12,0.01%,12,0.01%,0.01,0.01,4
10.08.08.02,"Dos Direitos, das Vantagens e das Concessões (arts. 64 a 153 da LC nº 68/1992)",2,0.00%,2,0.00%,0.0,0.0,4
10.08.08.03,Do Regime Disciplinar (arts. 154 a 180 da LC nº 68/1992),2,0.00%,2,0.00%,0.0,0.0,4
10.08.08.04,Do Processo Administrativo Disciplinar (arts. 181 a 228 da LC nº 68/1992),2,0.00%,2,0.00%,0.0,0.0,4
10.08.09,Lei Complementar nº 122/1994 - Estatuto dos Servidores do RN,53,0.05%,53,0.05%,0.05,0.05,3
10.08.09.01,"Do Provimento, Vacância, Remoção, Redistribuição e Substituição (arts. 4º a 38 da LC nº 122/1994)",13,0.01%,13,0.01%,0.01,0.01,4
10.08.09.02,Dos Direitos e Vantagens (arts. 39 a 128 da LC nº 122/1994),17,0.01%,17,0.01%,0.01,0.01,4
10.08.09.03,Do Regime Disciplinar (arts. 129 a 153 da LC nº 122/1994),16,0.01%,16,0.01%,0.01,0.01,4
10.08.09.04,Do Processo Administrativo Disciplinar (arts. 154 a 193 da LC nº 122/1994),4,0.00%,4,0.00%,0.0,0.0,4
10.08.09.05,Da Seguridade Social (arts. 194 a 229 da LC nº 122/1994),3,0.00%,3,0.00%,0.0,0.0,4
10.08.10,Decreto-Lei nº 220/1975 (Estatuto dos Servidores do RJ) e Decreto nº 2.479/1979 (Regulamento),26,0.02%,26,0.02%,0.02,0.02,3
10.08.10.01,"Provimento, Exercício e Vacância (arts. 1º a 17 do DL nº 220/1975 e 1º a 86 do Dec nº 2.479/1979)",11,0.01%,11,0.01%,0.01,0.01,4
10.08.10.02,Dos Direitos e Vantagens (arts. 18 a 32 do DL nº 220/1975 e 87 a 224 do Dec nº 2.479/1979),5,0.00%,5,0.00%,0.0,0.0,4
10.08.10.03,Regime Disciplinar (arts. 34 a 57 do DL nº 220/1975 e 271 a 303 do Dec nº 2.479/1979),6,0.01%,6,0.01%,0.01,0.01,4
10.08.10.04,Processo Administrativo Disciplinar (arts. 58 a 82 do DL nº 220/1975 e 304 a 349 do Dec nº 2.479/79),4,0.00%,4,0.00%,0.0,0.0,4
10.08.11,Lei Complementar nº 840/2011 - Estatuto dos Servidores do DF,162,0.14%,162,0.14%,0.14,0.14,3
10.08.11.01,Das Disposições Preliminares (arts. 1º a 3º da LC nº 840/2011),2,0.00%,2,0.00%,0.0,0.0,4
10.08.11.02,Dos Cargos Públicos e das Funções de Confiança (arts. 4º a 54 da LC nº 840/2011),42,0.04%,42,0.04%,0.04,0.04,4
10.08.11.03,Das Carreiras e Do Regime e da Jornada de Trabalho (arts. 55 a 65 da LC nº 840/2011),12,0.01%,12,0.01%,0.01,0.01,4
10.08.11.04,Dos Direitos (arts. 66 a 179 da LC nº 840/2011),38,0.03%,38,0.03%,0.03,0.03,4
10.08.11.05,Dos Deveres (art. 180 da LC nº 840/2011),2,0.00%,2,0.00%,0.0,0.0,4
10.08.11.06,Do Regime Disciplinar (arts. 181 a 210 da LC nº 840/2011),41,0.04%,41,0.04%,0.04,0.04,4
10.08.11.07,Dos Processos de Apuração de Infração Disciplinar (arts. 211 a 267 da LC nº 840/2011),18,0.02%,18,0.02%,0.02,0.02,4
10.08.11.08,Da Seguridade Social (arts. 268 a 277 da LC nº 840/2011),4,0.00%,4,0.00%,0.0,0.0,4
10.08.11.09,Das Disposições Finais e Transitórias (arts. 278 a 295 da LC nº 840/2011),3,0.00%,3,0.00%,0.0,0.0,4
10.08.12,Lei nº 869/1952 - Estatuto dos Servidores de MG,4,0.00%,4,0.00%,0.0,0.0,3
10.08.12.01,Do Provimento (arts. 10 a 79 da Lei nº 869/1952),3,0.00%,3,0.00%,0.0,0.0,4
10.08.12.02,Dos Deveres e da Ação Disciplinar (arts. 208 a 274 da Lei nº 869/1952),1,0.00%,1,0.00%,0.0,0.0,4
10.08.13,Lei nº 1.102/1990 - Estatuto dos Servidores do MS,2,0.00%,2,0.00%,0.0,0.0,3
10.08.13.01,"Do Provimento, Vacância, Remoção, Redistribuição e Substituição (arts. 9º a 64 da Lei nº 1.102/1990)",2,0.00%,2,0.00%,0.0,0.0,4
10.08.14,Lei nº 1.762/1986 - Estatuto dos Servidores do AM,11,0.01%,11,0.01%,0.01,0.01,3
10.08.14.01,Do Provimento e da Vacância (arts. 5º a 55 da Lei nº 1.762/1986),3,0.00%,3,0.00%,0.0,0.0,4
10.08.14.02,Do Tempo de Serviço (arts. 56 a 61 da Lei nº 1.762/1986),1,0.00%,1,0.00%,0.0,0.0,4
10.08.14.03,Dos Direitos e Vantagens (arts. 62 a 143 da Lei nº 1.762/1986),4,0.00%,4,0.00%,0.0,0.0,4
10.08.14.04,Do Regime Disciplinar (arts. 144 a 201 da Lei nº 1.762/1986),3,0.00%,3,0.00%,0.0,0.0,4
10.08.15,Lei nº 1.818/2007 - Estatuto dos Servidores do TO,9,0.01%,9,0.01%,0.01,0.01,3
10.08.15.01,"Concurso Público, Provimento, Vacância, Remoção e Outros (arts. 6º a 37 da Lei nº 1.818/2007)",5,0.00%,5,0.00%,0.0,0.0,4
10.08.15.02,Dos Direitos e Vantagens (arts. 38 a 130 da Lei nº 1.818/2007),1,0.00%,1,0.00%,0.0,0.0,4
10.08.15.03,Dos Procedimentos Disciplinares (arts. 158 a 208 da Lei nº 1.818/2007),2,0.00%,2,0.00%,0.0,0.0,4
10.08.15.04,Das Garantias Constitucionais (arts. 209 a 211 da Lei nº 1.818/2007),1,0.00%,1,0.00%,0.0,0.0,4
10.08.16,Lei nº 2.148/1977 - Estatuto dos Servidores de SE,14,0.01%,14,0.01%,0.01,0.01,3
10.08.16.01,Disposições Preliminares (arts. 1º e 2º da Lei nº 2.148/1977),2,0.00%,2,0.00%,0.0,0.0,4
10.08.16.02,"Do Provimento, da Posse e do Exercício (arts. 3º a 72 da Lei nº 2.148/1977)",5,0.00%,5,0.00%,0.0,0.0,4
10.08.16.03,Dos Direitos e Vantagens (arts. 76 a 242 da Lei nº 2.148/1977),2,0.00%,2,0.00%,0.0,0.0,4
10.08.16.04,Das Normas Gerais de Serviço (arts. 243 a 304 da Lei nº 2.148/1977),5,0.00%,5,0.00%,0.0,0.0,4
10.08.17,Lei nº 5.247/1991 - Estatuto dos Servidores de AL,45,0.04%,45,0.04%,0.04,0.04,3
10.08.17.01,Do Regime Funcional (arts. 5º a 44 da Lei nº 5.247/1991),22,0.02%,22,0.02%,0.02,0.02,4
10.08.17.02,Dos Direitos e Vantagens (arts. 45 a 117 da Lei nº 5.247/1991),13,0.01%,13,0.01%,0.01,0.01,4
10.08.17.03,Do Regime Disciplinar (arts. 118 a 144 da Lei nº 5.247/1991),7,0.01%,7,0.01%,0.01,0.01,4
10.08.17.04,Da Ação Disciplinar (arts. 145 a 193 da Lei nº 5.247/1991),2,0.00%,2,0.00%,0.0,0.0,4
10.08.17.05,Da Seguridade Social do Servidor (arts. 194 a 225 da Lei nº 5.247/1991),1,0.00%,1,0.00%,0.0,0.0,4
10.08.18,Lei nº 5.810/1994 - Estatuto dos Servidores do PA,55,0.05%,55,0.05%,0.05,0.05,3
10.08.18.01,Das Disposições Preliminares (arts. 1º a 4º da Lei nº 5.810/1994),2,0.00%,2,0.00%,0.0,0.0,4
10.08.18.02,"Do Provimento, do Exercício, da Carreira e da Vacância (arts. 5º a 62 da Lei nº 5.810/1994)",24,0.02%,24,0.02%,0.02,0.02,4
10.08.18.03,Dos Direitos e Vantagens (arts. 63 a 165 da Lei nº 5.810/1994),14,0.01%,14,0.01%,0.01,0.01,4
10.08.18.04,Da Seguridade Social (arts. 166 a 174 da Lei nº 5.810/1994),1,0.00%,1,0.00%,0.0,0.0,4
10.08.18.05,"Dos Deveres, das Proibições e das Responsabilidades (arts. 177 a 237 da Lei nº 5.810/1994)",14,0.01%,14,0.01%,0.01,0.01,4
10.08.19,Lei nº 6.107/1997 - Estatuto dos Servidores do MA,5,0.00%,5,0.00%,0.0,0.0,3
10.08.19.01,"Do Provimento, Vacância, Remoção, Redistribuição e Substituição (arts. 7º a 46 da Lei nº 6.107/1994)",2,0.00%,2,0.00%,0.0,0.0,4
10.08.19.02,Dos Direitos e Vantagens (arts. 47 a 208 da Lei nº 6.107/1994),2,0.00%,2,0.00%,0.0,0.0,4
10.08.19.03,Do Processo Administrativo Disciplinar (arts. 234 a 273 da Lei nº 6.107/1994),1,0.00%,1,0.00%,0.0,0.0,4
10.08.20,Lei nº 6.123/1968 - Estatuto dos Servidores de PE,34,0.03%,34,0.03%,0.03,0.03,3
10.08.20.01,Disposições Preliminares (arts. 1º a 9º da Lei nº 6.123/1968),5,0.00%,5,0.00%,0.0,0.0,4
10.08.20.02,Do Provimento (arts. 10 a 80 da Lei nº 6.123/1968),15,0.01%,15,0.01%,0.01,0.01,4
10.08.20.03,Da Vacância (arts. 81 a 84 da Lei nº 6.123/1968),1,0.00%,1,0.00%,0.0,0.0,4
10.08.20.04,Dos Direitos e Vantagens (arts. 85 a 189 da Lei nº 6.123/1968),4,0.00%,4,0.00%,0.0,0.0,4
10.08.20.05,Do Regime Disciplinar (arts. 190 a 213 da Lei nº 6.123/1968),9,0.01%,9,0.01%,0.01,0.01,4
10.08.21,Lei nº 6.174/1970 - Estatuto dos Servidores do PR,4,0.00%,4,0.00%,0.0,0.0,3
10.08.21.01,Do Provimento dos Cargos (arts. 18 a 122 da Lei nº 6.174/1970),1,0.00%,1,0.00%,0.0,0.0,4
10.08.21.02,"Dos Direitos, Vantagens e Concessões (arts. 128 a 254 da Lei nº 6.174/1970)",2,0.00%,2,0.00%,0.0,0.0,4
10.08.21.03,Do Processo Administrativo e sua Revisão (arts. 306 a 341 da Lei nº 6.174/1970),1,0.00%,1,0.00%,0.0,0.0,4
10.08.22,Lei nº 6.677/1994 - Estatuto dos Servidores da BA,44,0.04%,44,0.04%,0.04,0.04,3
10.08.22.01,Do Provimento e da Vacância (arts. 8º a 50 da Lei nº 6.677/1994,15,0.01%,15,0.01%,0.01,0.01,4
10.08.22.01.01,Do Provimento (arts. 8º a 43 da Lei nº 6.677/1994),15,0.01%,15,0.01%,0.01,0.01,5
10.08.22.02.04,Dos Benefícios (arts. 120 a 162 da Lei nº 6.677/1994),2,0.00%,2,0.00%,0.0,0.0,5
10.08.22.02,"Dos Direitos, Vantagens e Benefícios (arts. 51 a 174 da Lei nº 6.677/1994)",6,0.01%,6,0.01%,0.01,0.01,4
10.08.22.02.01,Do Vencimento e da Remuneração (arts. 51 a 60 da Lei nº 6.677/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.22.02.02,Das Vantagens (arts. 61 a 92 da Lei nº 6.677/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.22.02.03,Das Férias (arts. 93 a 97 da Lei nº 6.677/1994),2,0.00%,2,0.00%,0.0,0.0,5
10.08.22.03.04,Das Responsabilidades (arts. 181 a 186 da Lei nº 6.677/1994),6,0.01%,6,0.01%,0.01,0.01,5
10.08.22.03.05,Das Penalidades (arts. 187 a 203 da Lei nº 6.677/1994),3,0.00%,3,0.00%,0.0,0.0,5
10.08.22.03.03,Da Acumulação (arts. 177 a 180 da Lei nº 6.677/1994),2,0.00%,2,0.00%,0.0,0.0,5
10.08.22.03.02,Das Proibições (art. 176 da Lei nº 6.677/1994),1,0.00%,1,0.00%,0.0,0.0,5
10.08.22.03,Do Regime Disciplinar (arts. 175 a 203 da Lei nº 6.677/1994),15,0.01%,15,0.01%,0.01,0.01,4
10.08.22.03.01,Dos Deveres (art. 175 da Lei nº 6.677/1994),3,0.00%,3,0.00%,0.0,0.0,5
10.08.22.04,Do Processo Administrativo Disciplinar (arts. 204 a 251 da Lei nº 6.677/1994),8,0.01%,8,0.01%,0.01,0.01,4
10.08.22.04.01,Disposições Gerais (arts. 204 a 207 da Lei nº 6.677/1994),5,0.00%,5,0.00%,0.0,0.0,5
10.08.22.04.02,Do Processo Disciplinar (arts. 209 a 251 da Lei nº 6.677/1994),3,0.00%,3,0.00%,0.0,0.0,5
10.08.23,Lei nº 6.745/1985 - Estatuto dos Servidores de SC,7,0.01%,7,0.01%,0.01,0.01,3
10.08.23.01,Disposições Iniciais (arts. 1º a 4º da Lei nº 6.745/1985),1,0.00%,1,0.00%,0.0,0.0,4
10.08.23.02,Da Admissão ao Serviço Público (arts. 5º  a 16 da Lei nº 6.745/1985),4,0.00%,4,0.00%,0.0,0.0,4
10.08.23.03,"Do Exercício, da Lotação e da Remoção (arts. 17 a 41 da Lei nº 6.745/1985)",1,0.00%,1,0.00%,0.0,0.0,4
10.08.23.04,Dos Direitos (arts. 42 a 127 da Lei nº 6.745/1985),1,0.00%,1,0.00%,0.0,0.0,4
10.08.24,Lei nº 9.826/1974 - Estatuto dos Servidores do CE,44,0.04%,44,0.04%,0.04,0.04,3
10.08.24.01,Do Provimento dos Cargos (arts. 6º a 61 da Lei nº 9.826/1974),16,0.01%,16,0.01%,0.01,0.01,4
10.08.24.02,Da Extinção e da Suspensão do Vínculo Funcional (arts. 62 a 66 da Lei nº 9.826/1974),1,0.00%,1,0.00%,0.0,0.0,4
